zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCtM0000163KJ7,CC(C)CC[C@H]1CCCN(S(=O)(=O)c2ccc(N(C)CC3CN(C)C3)c(Br)c2)C1,0.305,0.5566666666666666,0.8271902,0.6318449,0.9735888,0.7374231,0.6719522852367824,0.668945289610689,5.0,0.6319759351478076,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCsj00000oQT5i,C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)c2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])C[C@H]1C,0.28,0.62,0.36382926,0.81398356,0.97629315,0.9999838,0.675681624809901,0.6688593178607047,4.0,0.6073504559301788,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtt00000tnuAw,Cc1c([N+](=O)[O-])ccc(Br)c1C(=O)N1C[C@H](F)C[C@H]1C(=O)N1CCN(C)[C@H](C)C1,0.355,0.435,0.7644882,0.5187564,0.95658606,0.9997914,0.6716036760807037,0.6679589816357226,4.0,0.6231810198496832,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtx00000ghKvT,COc1nscc1C(=O)N(C)C[C@H]1CCN(C(=O)c2ccc3c(c2)CCCO3)C1,0.41,0.615,0.82014894,0.88190144,0.36790448,0.94574416,0.6734498381614685,0.6679024454634239,4.0,0.6315582568524158,0,1,0,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCqg00001AUBsj,CN(C)[C@H](CO)C(=O)NCC1(F)CCN(c2nc(Cl)c([N+](=O)[O-])s2)CC1,0.295,0.5075,0.7791702,0.80597377,0.65501654,0.9999907,0.6737752044200898,0.6677065427252585,5.0,0.6284102453171613,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCqv00000O5iL3,C[C@H](NS(=O)(=O)c1cccc([N+](=O)[O-])c1Cl)c1cccc2c1CNC2=O,0.275,0.5516666666666666,0.38307253,0.8447482,0.9918352,0.99999416,0.6743861211008495,0.6677054424714253,4.0,0.6042858818394248,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCrC00000bDt8V,O=C(c1cc(O)ccc1Cl)N1CCN(C(=O)c2ccnc3ccsc23)CC1,0.345,0.705,0.66399664,0.9560737,0.3807104,0.9998539,0.6751057734092076,0.6676468054199894,4.0,0.6235425925065227,0,1,0,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtK00000tIzjT,O=[N+]([O-])c1cccc(Br)c1CN1CCC(NS(=O)(=O)c2ccc(F)cc2Cl)CC1,0.37,0.5866666666666667,0.5649281,0.5401961,0.968578,0.9999537,0.6717204283343422,0.6672877436383114,5.0,0.6327158453456969,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCrp00000HmuSN,CCCCS(=O)(=O)NCC1(C)CN(S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)C1,0.305,0.5816666666666667,0.26644146,0.93546194,0.95598155,0.9999772,0.6740881322489845,0.6670282971577158,4.0,0.5902104905942903,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCty000000THig,CC1=CC[C@H](C(=O)N[C@@]23CCCN(c4nc(=N)[nH]c(Cl)c4[N+](=O)[O-])C[C@@H]2C3)CC1,0.305,0.525,0.8198209,0.8474628,0.54168224,0.99605465,0.6725034244855245,0.6662310037207095,5.0,0.6257311168531873,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
