zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCrv00000PSspq,CO[C@H]1CCC[C@H](S(=O)(=O)NC[C@H]2CCCN(C(=O)c3scnc3Cl)C2)C1,0.3,0.6479166666666667,0.86167425,0.71147615,0.114928864,0.6017951,0.5396318340467082,0.5354662909293568,4.0,0.44943849579368544,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCsl00000zZ94T,C#CCCC(=O)N1C[C@@H](NC(=O)c2cc(-c3ccccc3F)no2)C[C@@H](O)C1,0.255,0.49,0.22036268,0.6493933,0.64119524,0.99665076,0.5421003318826357,0.5352318239634763,3.0,0.47459071203263087,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCtf00001NWqNg,CC(C)C[C@@](C)(O)C(=O)N1CCOC[C@H](CNC(=O)c2cc([N+](=O)[O-])ccn2)C1,0.265,0.26,0.85684144,0.031666845,0.81071603,0.99970794,0.5373220433791478,0.534973439460105,3.0,0.33890480870317047,0,1,1,0,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCtJ00000xQwa5,CN(C(=O)C12CC3CC(CC(C3)C1)C2)[C@@H]1CCN(C(=O)c2cccc(Cl)c2O)C1,0.20666666666666664,0.615,0.044853285,0.8601605,0.5506636,0.9863226,0.5439444422390726,0.5349726402375573,4.0,0.372309492355567,0,0,1,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCrG00000g689W,Cc1ccc(CN(C)[C@H](c2cccc(Cl)n2)c2nnnn2CCC2CC2)o1,0.31,0.5,0.74138945,0.9457831,0.7073525,0.0006766775,0.5342002881035054,0.5349351667373025,3.0,0.19321071787144428,0,1,1,0,1,0,3,0,0,0,Level_1_Low_Confidence
ZINCs5000003VDlv,COc1csc(C(=O)NCc2cnn3c2CN(C(=O)[C@H](C)S(N)(=O)=O)CC3)c1,0.26,0.565,0.50719136,0.88373893,0.044547647,0.9996517,0.543354935447375,0.5348720472786865,4.0,0.37832512416427766,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtI00000YgIze,Cc1ccc(S(=O)(=O)N[C@H]2C[C@@H]3CC[C@H](C2)N3C(=O)Cc2ccc(Cl)cc2F)s1,0.275,0.7141666666666666,0.18432662,0.9655676,0.12834954,0.9990317,0.5444070232576794,0.5348451084441045,3.0,0.4060499253820984,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCqC000000xupG,C=CCC1(NC(=O)[C@H]2C[C@@H]2F)CCN(c2c(C)cccc2[N+](=O)[O-])CC1,0.24,0.41,0.049218263,0.6676809,0.8821226,0.99988616,0.5414846523354451,0.5347762002188262,3.0,0.37658380604693115,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCql00000AnkDg,O=C(CC1OCCCO1)N[C@H]1CCCN(C(=O)c2csc([N+](=O)[O-])c2)C1,0.29,0.34375,0.62933934,0.2656665,0.7023677,0.9999367,0.5385100458065669,0.5347035265137963,3.0,0.47650402764672534,0,1,1,0,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCrt00000pgztB,Cc1cccc([N+](=O)[O-])c1C(=O)N1C[C@@H]2C[C@@]2(CNC(=O)[C@@H]2CCCS2)C1,0.23,0.44,0.09005532,0.62280947,0.8656502,0.9999829,0.5414163094758987,0.5346967220919352,3.0,0.41231583265277844,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
